,W1__ACDC_hadoop_mapreduce_focused__ACDC_hadoop_mapreduce_focused,W1__LIMBO_IL_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_100_clusters,W1__LIMBO_IL_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_20_clusters,W1__LIMBO_IL_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_23_clusters,W1__LIMBO_IL_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_30_clusters,W1__LIMBO_IL_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_50_clusters,W1__LIMBO_IL_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_75_clusters,W1__WCA_UEM_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_100_clusters,W1__WCA_UEM_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_20_clusters,W1__WCA_UEM_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_23_clusters,W1__WCA_UEM_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_30_clusters,W1__WCA_UEM_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_50_clusters,W1__WCA_UEM_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_75_clusters,W1__WCA_UEMNM_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_100_clusters,W1__WCA_UEMNM_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_20_clusters,W1__WCA_UEMNM_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_23_clusters,W1__WCA_UEMNM_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_30_clusters,W1__WCA_UEMNM_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_50_clusters,W1__WCA_UEMNM_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_75_clusters,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_10,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_12,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_15,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_6,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_8,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_10,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_12,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_15,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_6,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.4_k_8,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_10,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_12,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_15,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_6,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.6_k_8,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_10,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_12,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_15,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_6,W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.8_k_8,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_10,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_12,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_15,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_6,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.2_k_8,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_10,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_12,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_15,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_6,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.4_k_8,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_10,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_12,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_15,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_6,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.6_k_8,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_10,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_12,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_15,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_6,W3__group3_arc_jinaai__jina-code-embeddings-0.5b_alpha_0.8_k_8
W1__ACDC_hadoop_mapreduce_focused__ACDC_hadoop_mapreduce_focused,0.0,79.40808670279283,84.43294523501508,85.18518518518519,84.84328037784456,84.4614729672201,82.43470935130581,81.78407669862443,80.72445019404915,80.92161929371231,80.76427651352512,80.0340570455513,84.03538331929234,81.65902459358065,80.72445019404915,80.92161929371231,80.76427651352512,80.0340570455513,85.50968828980623,61.852861035422336,62.22101252041372,62.39130434782609,59.14800655379574,60.12002182214948,60.817438692098094,61.51333696243876,62.0108695652174,58.71108683779356,59.51991271140207,60.817438692098094,61.51333696243876,62.0108695652174,58.71108683779356,59.51991271140207,60.817438692098094,61.51333696243876,62.0108695652174,58.71108683779356,59.51991271140207,60.599455040871945,62.00326619488297,62.82608695652174,56.41725832878208,59.08346972176759,61.47138964577656,62.547632008709854,63.26086956521739,56.52648825778264,59.35624659028914,61.47138964577656,62.547632008709854,63.26086956521739,56.52648825778264,59.35624659028914,61.47138964577656,62.547632008709854,63.26086956521739,56.52648825778264,59.35624659028914
W1__LIMBO_IL_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_100_clusters,79.40808670279283,0.0,80.8848080133556,82.24260108378492,84.4970906068163,88.95300906842539,93.96164830681354,87.03554119547657,75.08347245409016,75.15631513130471,75.22859517871987,75.51525144270403,82.8641370869033,87.15670436187399,75.08347245409016,75.15631513130471,75.22859517871987,75.51525144270403,82.90493676050592,54.60251046025104,54.91118077324975,55.659885237350025,53.144654088050316,53.56020942408377,54.34100418410041,54.91118077324975,55.34689619196662,52.77777777777778,53.35078534031415,54.34100418410041,54.91118077324975,55.34689619196662,52.77777777777778,53.35078534031415,54.34100418410041,54.91118077324975,55.34689619196662,52.77777777777778,53.35078534031415,54.34100418410041,55.172413793103445,56.23369848721962,52.620545073375254,53.61256544502617,53.92259414225941,54.59770114942528,55.34689619196662,52.306079664570234,53.14136125654449,53.92259414225941,54.59770114942528,55.34689619196662,52.306079664570234,53.14136125654449,53.92259414225941,54.59770114942528,55.34689619196662,52.306079664570234,53.14136125654449
W1__LIMBO_IL_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_20_clusters,84.43294523501508,80.8848080133556,0.0,95.94652867615352,91.74548581255374,88.61892583120205,83.50906790383804,79.67445742904842,84.36960276338515,84.1310909874946,83.57695614789338,82.01193520886616,81.61113454238718,79.13188647746243,84.36960276338515,84.1310909874946,83.57695614789338,82.01193520886616,81.18937157317588,59.27947598253276,59.43293347873501,59.172563962983126,58.479212253829324,58.907103825136616,59.71615720524017,59.105779716466735,59.33587370713119,59.026258205689274,59.01639344262295,59.71615720524017,59.105779716466735,59.33587370713119,59.026258205689274,59.01639344262295,59.71615720524017,59.105779716466735,59.33587370713119,59.026258205689274,59.01639344262295,59.82532751091703,59.8691384950927,60.3157321720196,59.026258205689274,60.0,59.00655021834061,59.596510359869136,59.608056614044635,59.51859956236324,59.12568306010929,59.00655021834061,59.596510359869136,59.608056614044635,59.51859956236324,59.12568306010929,59.00655021834061,59.596510359869136,59.608056614044635,59.51859956236324,59.12568306010929
W1__LIMBO_IL_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_23_clusters,85.18518518518519,82.24260108378492,95.94652867615352,0.0,94.4182052382997,90.88974031502767,85.21482729570346,80.53355564818673,84.26045709357481,84.28079242032732,83.72692142550451,82.16262239250744,82.6453243470935,79.90829512296791,84.26045709357481,84.28079242032732,83.72692142550451,82.16262239250744,82.13984835720302,59.18256130790191,59.39031028851388,59.34782608695652,58.32878208629164,58.756137479541735,59.56403269754769,58.900381056069676,59.18478260869565,57.89186237028946,58.5379159847245,59.56403269754769,58.900381056069676,59.18478260869565,57.89186237028946,58.5379159847245,59.56403269754769,58.900381056069676,59.18478260869565,57.89186237028946,58.5379159847245,60.217983651226156,60.206859009254224,60.597826086956516,58.05570726379028,59.51991271140207,58.9100817438692,59.49918345127926,59.836956521739125,57.400327689787,59.1380250954719,58.9100817438692,59.49918345127926,59.836956521739125,57.400327689787,59.1380250954719,58.9100817438692,59.49918345127926,59.836956521739125,57.400327689787,59.1380250954719
W1__LIMBO_IL_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_30_clusters,84.84328037784456,84.4970906068163,91.74548581255374,94.4182052382997,0.0,94.31239388794566,88.2402351952961,82.12801330008313,80.35253654342218,80.37784456848432,80.43664383561644,78.90492359932088,84.71230575388492,81.79551122194513,80.35253654342218,80.37784456848432,80.43664383561644,78.90492359932088,83.83032339353214,58.95765472312704,59.16485900216919,59.77260422306443,57.725788900979325,58.152173913043484,59.12052117263844,59.273318872017356,59.55603681645913,57.29053318824809,58.09782608695653,59.12052117263844,59.273318872017356,59.55603681645913,57.29053318824809,58.09782608695653,59.12052117263844,59.273318872017356,59.55603681645913,57.29053318824809,58.09782608695653,59.55483170466884,60.19522776572668,60.80129940443963,56.80087051142546,58.369565217391305,58.52334419109664,59.110629067245114,59.66432051976178,56.20239390642002,57.77173913043478,58.52334419109664,59.110629067245114,59.66432051976178,56.20239390642002,57.77173913043478,58.52334419109664,59.110629067245114,59.66432051976178,56.20239390642002,57.77173913043478
W1__LIMBO_IL_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_50_clusters,84.4614729672201,88.95300906842539,88.61892583120205,90.88974031502767,94.31239388794566,0.0,93.21116201582674,84.95465787304204,79.66751918158567,79.69348659003832,79.75382003395586,79.92424242424244,85.71428571428572,84.41879637262984,79.66751918158567,79.69348659003832,79.75382003395586,79.92424242424244,84.6314035818409,58.21697099892589,58.53004291845494,59.34654525977504,56.88912809472551,57.41935483870968,58.3780880773362,58.690987124463526,58.91805034815212,56.78148546824542,57.36559139784947,58.3780880773362,58.690987124463526,58.91805034815212,56.78148546824542,57.36559139784947,58.3780880773362,58.690987124463526,58.91805034815212,56.78148546824542,57.36559139784947,58.64661654135339,59.495708154506445,60.52490626673808,56.189451022604956,57.74193548387097,57.67991407089151,58.47639484978541,59.02517407605785,55.59741657696448,57.09677419354839,57.67991407089151,58.47639484978541,59.02517407605785,55.59741657696448,57.09677419354839,57.67991407089151,58.47639484978541,59.02517407605785,55.59741657696448,57.09677419354839
W1__LIMBO_IL_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_IL_75_clusters,82.43470935130581,93.96164830681354,83.50906790383804,85.21482729570346,88.2402351952961,93.21116201582674,0.0,86.0873113015096,75.87515816111346,75.94776748104465,76.0184796304074,76.8429820907955,85.69661995053586,86.53610771113831,75.87515816111346,75.94776748104465,76.0184796304074,76.8429820907955,84.99587798845837,56.86274509803921,57.12016940179989,58.08668076109937,55.17790759426446,55.59681697612733,56.43879173290938,57.12016940179989,57.61099365750528,54.69994689325544,55.43766578249336,56.43879173290938,57.12016940179989,57.61099365750528,54.69994689325544,55.43766578249336,56.43879173290938,57.12016940179989,57.61099365750528,54.69994689325544,55.43766578249336,56.59777424483307,57.43779777660137,58.61522198731501,54.00955921402017,55.54376657824933,56.06783253842078,56.7496029645315,57.76955602536997,53.53159851301115,55.11936339522546,56.06783253842078,56.7496029645315,57.76955602536997,53.53159851301115,55.11936339522546,56.06783253842078,56.7496029645315,57.76955602536997,53.53159851301115,55.11936339522546
W1__WCA_UEM_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_100_clusters,81.78407669862443,87.03554119547657,79.67445742904842,80.53355564818673,82.12801330008313,84.95465787304204,86.0873113015096,0.0,74.91652754590984,75.19799916631929,75.8520365752286,77.69991755976918,91.67686658506732,92.20516962843296,74.91652754590984,75.19799916631929,75.8520365752286,77.69991755976918,88.16809465524275,55.91004184100419,56.21734587251829,56.33802816901409,54.35010482180294,54.9738219895288,55.1255230125523,55.69487983281087,56.18153364632238,53.721174004192875,54.45026178010471,55.1255230125523,55.69487983281087,56.18153364632238,53.721174004192875,54.45026178010471,55.1255230125523,55.69487983281087,56.18153364632238,53.721174004192875,54.45026178010471,54.96861924686193,55.90386624869383,56.96400625978091,52.987421383647806,54.29319371727749,55.3347280334728,56.00835945663532,56.598852373500264,52.987421383647806,54.18848167539267,55.3347280334728,56.00835945663532,56.598852373500264,52.987421383647806,54.18848167539267,55.3347280334728,56.00835945663532,56.598852373500264,52.987421383647806,54.18848167539267
W1__WCA_UEM_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_20_clusters,80.72445019404915,75.08347245409016,84.36960276338515,84.26045709357481,80.35253654342218,79.66751918158567,75.87515816111346,74.91652754590984,0.0,99.74126778783958,99.140154772141,97.44245524296676,76.7608603964572,75.04173622704508,100.0,99.74126778783958,99.140154772141,97.44245524296676,76.80303669337832,56.113537117903924,56.324972737186485,56.668481219379416,60.50328227571116,60.71038251366121,56.604803493449786,56.706652126499456,57.04953728905825,61.10503282275711,60.16393442622952,56.604803493449786,56.706652126499456,57.04953728905825,61.10503282275711,60.16393442622952,56.604803493449786,56.706652126499456,57.04953728905825,61.10503282275711,60.16393442622952,57.0414847161572,56.87022900763359,56.39629831246597,62.80087527352298,58.79781420765027,57.42358078602621,57.579062159214836,55.579749591725644,62.36323851203501,59.2896174863388,57.42358078602621,57.579062159214836,55.579749591725644,62.36323851203501,59.2896174863388,57.42358078602621,57.579062159214836,55.579749591725644,62.36323851203501,59.2896174863388
W1__WCA_UEM_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_23_clusters,80.92161929371231,75.15631513130471,84.1310909874946,84.28079242032732,80.37784456848432,79.69348659003832,75.94776748104465,75.19799916631929,99.74126778783958,0.0,99.39888364104766,97.70114942528735,77.04296545914069,75.32305127136307,99.74126778783958,100.0,99.39888364104766,97.70114942528735,77.08508845829823,55.96730245231607,56.17855198693522,56.52173913043479,60.34953577280176,60.55646481178396,56.51226158038148,56.55960805661404,56.902173913043484,60.950300382304754,60.01091107474086,56.51226158038148,56.55960805661404,56.902173913043484,60.950300382304754,60.01091107474086,56.51226158038148,56.55960805661404,56.902173913043484,60.950300382304754,60.01091107474086,56.893732970027244,56.83179096352748,56.25,62.64336428181322,58.756137479541735,57.38419618528609,57.53946652150245,55.54347826086956,62.20644456581104,59.1380250954719,57.38419618528609,57.53946652150245,55.54347826086956,62.20644456581104,59.1380250954719,57.38419618528609,57.53946652150245,55.54347826086956,62.20644456581104,59.1380250954719
W1__WCA_UEM_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_30_clusters,80.76427651352512,75.22859517871987,83.57695614789338,83.72692142550451,80.43664383561644,79.75382003395586,76.0184796304074,75.8520365752286,99.140154772141,99.39888364104766,0.0,98.30220713073004,77.69844603107938,75.97672485453035,99.140154772141,99.39888364104766,100.0,98.30220713073004,77.74044519109617,55.754614549402824,55.9652928416486,56.307525717379534,60.11969532100109,60.32608695652174,56.40608034744843,56.399132321041215,56.74066053059015,60.71817192600653,59.78260869565217,56.40608034744843,56.399132321041215,56.74066053059015,60.71817192600653,59.78260869565217,56.40608034744843,56.399132321041215,56.74066053059015,60.71817192600653,59.78260869565217,56.56894679695983,56.724511930585685,56.090958310774234,62.24156692056584,58.53260869565218,57.32899022801303,57.48373101952278,55.603681645912296,61.8063112078346,58.96739130434783,57.32899022801303,57.48373101952278,55.603681645912296,61.8063112078346,58.96739130434783,57.32899022801303,57.48373101952278,55.603681645912296,61.8063112078346,58.96739130434783
W1__WCA_UEM_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_50_clusters,80.0340570455513,75.51525144270403,82.01193520886616,82.16262239250744,78.90492359932088,79.92424242424244,76.8429820907955,77.69991755976918,97.44245524296676,97.70114942528735,98.30220713073004,0.0,79.55018742190754,77.82357790601814,97.44245524296676,97.70114942528735,98.30220713073004,100.0,79.59183673469387,55.15574650912997,55.41845493562232,55.757900374933044,59.04198062432724,59.30107526881721,55.53168635875403,55.793991416309005,56.18639528655598,59.58019375672766,58.655913978494624,55.53168635875403,55.793991416309005,56.18639528655598,59.58019375672766,58.655913978494624,55.53168635875403,55.793991416309005,56.18639528655598,59.58019375672766,58.655913978494624,55.90762620837808,55.5793991416309,55.49009105516872,60.81808396124866,57.258064516129025,56.390977443609025,56.65236051502146,54.95447241564007,60.65662002152852,57.95698924731183,56.390977443609025,56.65236051502146,54.95447241564007,60.65662002152852,57.95698924731183,56.390977443609025,56.65236051502146,54.95447241564007,60.65662002152852,57.95698924731183
W1__WCA_UEM_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEM_75_clusters,84.03538331929234,82.8641370869033,81.61113454238718,82.6453243470935,84.71230575388492,85.71428571428572,85.69661995053586,91.67686658506732,76.7608603964572,77.04296545914069,77.69844603107938,79.55018742190754,0.0,88.49449204406365,76.7608603964572,77.04296545914069,77.69844603107938,79.55018742190754,92.3330585325639,57.28669846316905,57.59661196400212,57.71670190274841,55.70897503983006,56.3395225464191,56.38579756226816,56.961355214399155,57.399577167019025,55.28412108337759,55.80901856763926,56.38579756226816,56.961355214399155,57.399577167019025,55.28412108337759,55.80901856763926,56.38579756226816,56.961355214399155,57.399577167019025,55.28412108337759,55.80901856763926,56.2798092209857,57.226045526733714,58.24524312896406,54.3813064259161,55.43766578249336,56.809750927397985,57.64955002646903,58.24524312896406,54.3813064259161,55.80901856763926,56.809750927397985,57.64955002646903,58.24524312896406,54.3813064259161,55.80901856763926,56.809750927397985,57.64955002646903,58.24524312896406,54.3813064259161,55.80901856763926
W1__WCA_UEMNM_thresh100_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_100_clusters,81.65902459358065,87.15670436187399,79.13188647746243,79.90829512296791,81.79551122194513,84.41879637262984,86.53610771113831,92.20516962843296,75.04173622704508,75.32305127136307,75.97672485453035,77.82357790601814,88.49449204406365,0.0,75.04173622704508,75.32305127136307,75.97672485453035,77.82357790601814,91.92166462668298,55.23012552301255,55.4858934169279,55.503390714658316,53.721174004192875,54.3455497382199,54.49790794979079,54.858934169278996,55.34689619196662,53.51153039832285,53.82198952879581,54.49790794979079,54.858934169278996,55.34689619196662,53.51153039832285,53.82198952879581,54.49790794979079,54.858934169278996,55.34689619196662,53.51153039832285,53.82198952879581,54.864016736401666,55.59038662486938,56.54668753260302,52.46331236897275,53.97905759162304,54.75941422594141,55.4858934169279,56.18153364632238,52.46331236897275,53.92670157068062,54.75941422594141,55.4858934169279,56.18153364632238,52.46331236897275,53.92670157068062,54.75941422594141,55.4858934169279,56.18153364632238,52.46331236897275,53.92670157068062
W1__WCA_UEMNM_thresh20_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_20_clusters,80.72445019404915,75.08347245409016,84.36960276338515,84.26045709357481,80.35253654342218,79.66751918158567,75.87515816111346,74.91652754590984,100.0,99.74126778783958,99.140154772141,97.44245524296676,76.7608603964572,75.04173622704508,0.0,99.74126778783958,99.140154772141,97.44245524296676,76.80303669337832,56.113537117903924,56.324972737186485,56.668481219379416,60.50328227571116,60.71038251366121,56.604803493449786,56.706652126499456,57.04953728905825,61.10503282275711,60.16393442622952,56.604803493449786,56.706652126499456,57.04953728905825,61.10503282275711,60.16393442622952,56.604803493449786,56.706652126499456,57.04953728905825,61.10503282275711,60.16393442622952,57.0414847161572,56.87022900763359,56.39629831246597,62.80087527352298,58.79781420765027,57.42358078602621,57.579062159214836,55.579749591725644,62.36323851203501,59.2896174863388,57.42358078602621,57.579062159214836,55.579749591725644,62.36323851203501,59.2896174863388,57.42358078602621,57.579062159214836,55.579749591725644,62.36323851203501,59.2896174863388
W1__WCA_UEMNM_thresh23_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_23_clusters,80.92161929371231,75.15631513130471,84.1310909874946,84.28079242032732,80.37784456848432,79.69348659003832,75.94776748104465,75.19799916631929,99.74126778783958,100.0,99.39888364104766,97.70114942528735,77.04296545914069,75.32305127136307,99.74126778783958,0.0,99.39888364104766,97.70114942528735,77.08508845829823,55.96730245231607,56.17855198693522,56.52173913043479,60.34953577280176,60.55646481178396,56.51226158038148,56.55960805661404,56.902173913043484,60.950300382304754,60.01091107474086,56.51226158038148,56.55960805661404,56.902173913043484,60.950300382304754,60.01091107474086,56.51226158038148,56.55960805661404,56.902173913043484,60.950300382304754,60.01091107474086,56.893732970027244,56.83179096352748,56.25,62.64336428181322,58.756137479541735,57.38419618528609,57.53946652150245,55.54347826086956,62.20644456581104,59.1380250954719,57.38419618528609,57.53946652150245,55.54347826086956,62.20644456581104,59.1380250954719,57.38419618528609,57.53946652150245,55.54347826086956,62.20644456581104,59.1380250954719
W1__WCA_UEMNM_thresh30_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_30_clusters,80.76427651352512,75.22859517871987,83.57695614789338,83.72692142550451,80.43664383561644,79.75382003395586,76.0184796304074,75.8520365752286,99.140154772141,99.39888364104766,100.0,98.30220713073004,77.69844603107938,75.97672485453035,99.140154772141,99.39888364104766,0.0,98.30220713073004,77.74044519109617,55.754614549402824,55.9652928416486,56.307525717379534,60.11969532100109,60.32608695652174,56.40608034744843,56.399132321041215,56.74066053059015,60.71817192600653,59.78260869565217,56.40608034744843,56.399132321041215,56.74066053059015,60.71817192600653,59.78260869565217,56.40608034744843,56.399132321041215,56.74066053059015,60.71817192600653,59.78260869565217,56.56894679695983,56.724511930585685,56.090958310774234,62.24156692056584,58.53260869565218,57.32899022801303,57.48373101952278,55.603681645912296,61.8063112078346,58.96739130434783,57.32899022801303,57.48373101952278,55.603681645912296,61.8063112078346,58.96739130434783,57.32899022801303,57.48373101952278,55.603681645912296,61.8063112078346,58.96739130434783
W1__WCA_UEMNM_thresh50_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_50_clusters,80.0340570455513,75.51525144270403,82.01193520886616,82.16262239250744,78.90492359932088,79.92424242424244,76.8429820907955,77.69991755976918,97.44245524296676,97.70114942528735,98.30220713073004,100.0,79.55018742190754,77.82357790601814,97.44245524296676,97.70114942528735,98.30220713073004,0.0,79.59183673469387,55.15574650912997,55.41845493562232,55.757900374933044,59.04198062432724,59.30107526881721,55.53168635875403,55.793991416309005,56.18639528655598,59.58019375672766,58.655913978494624,55.53168635875403,55.793991416309005,56.18639528655598,59.58019375672766,58.655913978494624,55.53168635875403,55.793991416309005,56.18639528655598,59.58019375672766,58.655913978494624,55.90762620837808,55.5793991416309,55.49009105516872,60.81808396124866,57.258064516129025,56.390977443609025,56.65236051502146,54.95447241564007,60.65662002152852,57.95698924731183,56.390977443609025,56.65236051502146,54.95447241564007,60.65662002152852,57.95698924731183,56.390977443609025,56.65236051502146,54.95447241564007,60.65662002152852,57.95698924731183
W1__WCA_UEMNM_thresh75_stop-PRESELECTED_file-True__hadoopmapreduce-3.4.1_UEMNM_75_clusters,85.50968828980623,82.90493676050592,81.18937157317588,82.13984835720302,83.83032339353214,84.6314035818409,84.99587798845837,88.16809465524275,76.80303669337832,77.08508845829823,77.74044519109617,79.59183673469387,92.3330585325639,91.92166462668298,76.80303669337832,77.08508845829823,77.74044519109617,79.59183673469387,0.0,56.70376258611552,56.961355214399155,56.923890063424956,55.44344131704726,56.07427055702918,56.06783253842078,56.3790365272631,56.65961945031712,55.12480084970791,55.54376657824933,56.06783253842078,56.3790365272631,56.65961945031712,55.12480084970791,55.54376657824933,56.06783253842078,56.3790365272631,56.65961945031712,55.12480084970791,55.54376657824933,56.70376258611552,57.43779777660137,58.40380549682875,53.74402549123738,55.59681697612733,56.544780074191834,57.43779777660137,57.98097251585623,53.74402549123738,55.49071618037136,56.544780074191834,57.43779777660137,57.98097251585623,53.74402549123738,55.49071618037136,56.544780074191834,57.43779777660137,57.98097251585623,53.74402549123738,55.49071618037136
W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_10,61.852861035422336,54.60251046025104,59.27947598253276,59.18256130790191,58.95765472312704,58.21697099892589,56.86274509803921,55.91004184100419,56.113537117903924,55.96730245231607,55.754614549402824,55.15574650912997,57.28669846316905,55.23012552301255,56.113537117903924,55.96730245231607,55.754614549402824,55.15574650912997,56.70376258611552,0.0,99.48148148148148,96.60014781966002,90.77380952380952,92.3476968796434,94.13946587537092,95.85185185185185,95.1219512195122,88.69047619047619,91.01040118870728,94.13946587537092,95.85185185185185,95.1219512195122,88.69047619047619,91.01040118870728,94.13946587537092,95.85185185185185,95.1219512195122,88.69047619047619,91.01040118870728,88.35311572700297,89.70370370370371,88.39615668883961,83.70535714285714,87.44427934621099,89.2433234421365,89.48148148148148,88.76570583887657,84.15178571428572,87.22139673105498,89.2433234421365,89.48148148148148,88.76570583887657,84.15178571428572,87.22139673105498,89.2433234421365,89.48148148148148,88.76570583887657,84.15178571428572,87.22139673105498
W3__group3_arc_ibm-granite__granite-embedding-english-r2_alpha_0.2_k_12,62.22101252041372,54.91118077324975,59.43293347873501,59.39031028851388,59.16485900216919,58.53004291845494,57.12016940179989,56.21734587251829,56.324972737186485,56.17855198693522,55.9652928416486,55.41845493562232,57.59661196400212,55.4858934169279,56.324972737186485,56.17855198693522,55.9652928416486,55.41845493562232,56.961355214399155,99.48148148148148,0.0,97.12177121771217,90.49034175334324,91.83976261127597,94.14814814814815,96.22781065088756,95.5719557195572,88.48439821693907,90.80118694362018,94.14814814814815,96.22781065088756,95.5719557195572,88.48439821693907,90.80118694362018,94.14814814814815,96.22781065088756,95.5719557195572,88.48439821693907,90.80118694362018,88.29629629629629,90.16272189349112,88.85608856088561,83.6552748885587,87.3887240356083,89.18518518518519,89.94082840236686,89.22509225092251,84.10104011887073,87.16617210682493,89.18518518518519,89.94082840236686,89.22509225092251,84.10104011887073,87.16617210682493,89.18518518518519,89.94082840236686,89.22509225092251,84.10104011887073,87.16617210682493
